2026-06-26 21:36:41,753 | INFO | Cargando vectorstore existente desde disco...
2026-06-26 21:36:41,756 | INFO | Loading faiss with AVX2 support.
2026-06-26 21:36:41,789 | INFO | Successfully loaded faiss with AVX2 support.
2026-06-26 21:36:42,412 | INFO | 🤖 Agente inicializado
2026-06-26 21:37:11,266 | WARNING | ⚠️ Consulta bloqueada por keyword: 'hackear'
2026-06-26 21:37:11,267 | WARNING | ⚠️ Consulta bloqueada: No puedo ayudar con esa solicitud por razones de seguridad y ética.
2026-06-26 21:37:11,267 | INFO | 🔍 Traza: {"trace_id": "edfd9670d2", "timestamp": "2026-06-26T21:37:11.267115", "query_hash": "f72176e6", "query_preview": "necesito hackear un dispositivo", "intent": "bloqueado", "model_detected": "N/A", "response_preview": "No puedo ayudar con esa solicitud por razones de seguridad y ética.", "response_length": 67, "duration_ms": 1.0, "errors": ["consulta_bloqueada"]}
2026-06-26 21:38:03,442 | INFO | 🔍 Traza: {"trace_id": "7a4b9c0164", "timestamp": "2026-06-26T21:38:03.442654", "query_hash": "86ba4765", "query_preview": "se esta calentando mi dispositivo", "intent": "fuera_contexto", "model_detected": "Ninguno", "response_preview": "Solo ayudo con dispositivos Samsung Galaxy. ¿Tienes un Galaxy?", "response_length": 62, "duration_ms": 2.0, "errors": []}
2026-06-26 21:38:30,148 | INFO | HTTP Request: POST https://models.inference.ai.azure.com/chat/completions "HTTP/1.1 200 OK"
2026-06-26 21:38:30,155 | INFO | 🔍 Traza: {"trace_id": "c84ccf1e24", "timestamp": "2026-06-26T21:38:30.155104", "query_hash": "ffe8604e", "query_preview": "si tengo un galaxy s25 ultra", "intent": "fuera_contexto", "model_detected": "GALAXY S25 ULTRA", "response_preview": "Solo ayudo con dispositivos Samsung Galaxy. ¿Tienes un Galaxy?", "response_length": 62, "duration_ms": 1516.09, "errors": []}
2026-06-26 21:39:09,983 | INFO | Cargando vectorstore existente desde disco...
2026-06-26 21:39:09,986 | INFO | Loading faiss with AVX2 support.
2026-06-26 21:39:10,006 | INFO | Successfully loaded faiss with AVX2 support.
2026-06-26 21:39:10,534 | INFO | 🤖 Agente inicializado
2026-06-26 21:39:28,233 | INFO | HTTP Request: POST https://models.inference.ai.azure.com/chat/completions "HTTP/1.1 200 OK"
2026-06-26 21:39:29,293 | INFO | HTTP Request: POST https://models.inference.ai.azure.com/embeddings "HTTP/1.1 200 OK"
2026-06-26 21:39:30,231 | INFO | HTTP Request: POST https://models.inference.ai.azure.com/chat/completions "HTTP/1.1 200 OK"
